Date,Price,Open,High,Low,Volume,Chg%
"Jul 26, 2018",10.1078,10.2065,10.2118,10.1044,0,-0.44%
"Jul 27, 2018",10.0686,10.0869,10.1047,10.0427,0,-0.39%
"Jul 30, 2018",10.0668,10.0666,10.0887,10.0345,0,-0.02%
"Jul 31, 2018",10.0489,10.0619,10.083,10.0256,0,-0.18%
"Aug 01, 2018",10.0181,10.0363,10.1057,10.0181,0,-0.31%
"Aug 02, 2018",10.0288,10.0503,10.0582,10.0181,0,0.11%
"Aug 03, 2018",10.0312,10.0072,10.0407,9.9819,0,0.02%
"Aug 06, 2018",10.043,10.0403,10.0793,10.0315,0,0.12%
"Aug 07, 2018",10.0457,10.0419,10.0739,10.0312,0,0.03%
"Aug 08, 2018",10.0442,10.0787,10.0924,10.0304,0,-0.01%
"Aug 09, 2018",10.0806,10.0541,10.0806,10.0368,0,0.36%
"Aug 10, 2018",10.0611,10.0589,10.0725,10.0428,0,-0.19%
"Aug 13, 2018",10.1607,10.0237,10.1771,10.0128,0,0.99%
"Aug 14, 2018",10.1623,10.1653,10.1817,10.1224,0,0.02%
"Aug 15, 2018",10.0825,10.1488,10.157,10.0823,0,-0.79%
"Aug 16, 2018",10.1838,10.0985,10.2101,10.0985,0,1.00%
"Aug 17, 2018",10.1927,10.205,10.2116,10.1684,0,0.09%
"Aug 20, 2018",10.1812,10.2165,10.2338,10.1594,0,-0.11%
"Aug 21, 2018",10.2027,10.2173,10.2213,10.1681,0,0.21%
"Aug 22, 2018",10.2123,10.2177,10.2194,10.1972,0,0.09%
"Aug 23, 2018",10.193,10.192,10.212,10.1676,0,-0.19%
"Aug 24, 2018",10.2791,10.1981,10.2791,10.1769,0,0.84%
"Aug 27, 2018",10.2947,10.2642,10.2947,10.2326,0,0.15%
"Aug 28, 2018",10.3042,10.3018,10.3233,10.2714,0,0.09%
"Aug 29, 2018",10.3405,10.2989,10.3497,10.2814,0,0.35%
"Aug 30, 2018",10.3361,10.3402,10.3721,10.3288,0,-0.04%
"Aug 31, 2018",10.3938,10.3225,10.3968,10.3225,0,0.56%
"Sep 03, 2018",10.4378,10.378,10.4393,10.3474,0,0.42%
"Sep 04, 2018",10.4591,10.4351,10.469,10.4185,0,0.20%
"Sep 05, 2018",10.5051,10.481,10.5244,10.4415,0,0.44%
"Sep 06, 2018",10.5259,10.5124,10.5502,10.4801,0,0.20%
"Sep 07, 2018",10.4899,10.5342,10.5411,10.4673,0,-0.34%
"Sep 10, 2018",10.5688,10.4718,10.5932,10.4575,0,0.75%
"Sep 11, 2018",10.5688,10.5505,10.5978,10.5312,0,0.00%
"Sep 12, 2018",10.518,10.5699,10.6115,10.4773,0,-0.48%
"Sep 13, 2018",10.5244,10.5626,10.564,10.5206,0,0.06%
"Sep 14, 2018",10.4644,10.5223,10.5247,10.448,0,-0.57%
"Sep 17, 2018",10.579,10.4663,10.5846,10.4567,0,1.10%
"Sep 18, 2018",10.5968,10.5762,10.6384,10.5473,0,0.17%
"Sep 19, 2018",10.5661,10.5905,10.6356,10.5532,0,-0.29%
"Sep 20, 2018",10.5182,10.5624,10.5679,10.5128,0,-0.45%
"Sep 21, 2018",10.5351,10.5311,10.5979,10.4922,0,0.16%
"Sep 24, 2018",10.5978,10.5701,10.608,10.5496,0,0.60%
"Sep 25, 2018",10.5854,10.5942,10.6359,10.5593,0,-0.12%
"Sep 26, 2018",10.5545,10.5762,10.5895,10.5531,0,-0.29%
"Sep 27, 2018",10.5323,10.5515,10.5846,10.5307,0,-0.21%
"Sep 28, 2018",10.5564,10.5274,10.5622,10.5191,0,0.23%
"Oct 01, 2018",10.6167,10.5701,10.6197,10.5701,0,0.57%
"Oct 02, 2018",10.6167,10.6167,10.6167,10.6167,0,0.00%
"Oct 03, 2018",10.6779,10.6662,10.6903,10.616,0,0.58%
"Oct 04, 2018",10.7194,10.7311,10.7478,10.7005,0,0.39%
"Oct 05, 2018",10.7398,10.718,10.8096,10.6896,0,0.19%
"Oct 08, 2018",10.6865,10.6854,10.7249,10.6817,0,-0.50%
"Oct 09, 2018",10.7385,10.6858,10.744,10.6812,0,0.49%
"Oct 10, 2018",10.7232,10.7385,10.7501,10.7083,0,-0.14%
"Oct 11, 2018",10.7476,10.7233,10.7494,10.6879,0,0.23%
"Oct 12, 2018",10.6335,10.75,10.75,10.6253,0,-1.06%
"Oct 15, 2018",10.6654,10.6346,10.707,10.6343,0,0.30%
"Oct 16, 2018",10.6286,10.6648,10.6837,10.6186,0,-0.35%
"Oct 17, 2018",10.6243,10.6318,10.6362,10.5986,0,-0.04%
"Oct 18, 2018",10.5988,10.613,10.6156,10.591,0,-0.24%
"Oct 19, 2018",10.5884,10.5892,10.6201,10.5732,0,-0.10%
"Oct 22, 2018",10.5881,10.5824,10.5978,10.5612,0,0.00%
"Oct 23, 2018",10.6006,10.5946,10.6366,10.5945,0,0.12%
"Oct 24, 2018",10.5458,10.6003,10.6072,10.5316,0,-0.52%
"Oct 25, 2018",10.5382,10.5445,10.5707,10.5319,0,-0.07%
"Oct 26, 2018",10.5797,10.5261,10.5797,10.5143,0,0.39%
"Oct 29, 2018",10.5431,10.5801,10.5824,10.5395,0,-0.35%
"Oct 30, 2018",10.5753,10.5429,10.5854,10.529,0,0.31%
"Oct 31, 2018",10.6026,10.5764,10.6435,10.5763,0,0.26%
"Nov 01, 2018",10.6098,10.6145,10.6228,10.577,0,0.07%
"Nov 02, 2018",10.5127,10.6238,10.6238,10.5043,0,-0.92%
"Nov 05, 2018",10.5519,10.512,10.5679,10.4768,0,0.37%
"Nov 06, 2018",10.5434,10.5532,10.566,10.5358,0,-0.08%
"Nov 07, 2018",10.4696,10.5321,10.5371,10.4677,0,-0.70%
"Nov 08, 2018",10.4377,10.4657,10.4657,10.4377,0,-0.30%
"Nov 09, 2018",10.4186,10.4324,10.4834,10.4078,0,-0.18%
"Nov 12, 2018",10.4631,10.4339,10.4942,10.4214,0,0.43%
"Nov 13, 2018",10.4392,10.4619,10.4757,10.4276,0,-0.23%
"Nov 14, 2018",10.4035,10.4453,10.4502,10.3603,0,-0.34%
"Nov 15, 2018",10.3635,10.4129,10.4174,10.3618,0,-0.38%
"Nov 16, 2018",10.3748,10.3635,10.378,10.3238,0,0.11%
"Nov 19, 2018",10.3155,10.3801,10.3838,10.3079,0,-0.57%
"Nov 20, 2018",10.2847,10.313,10.3183,10.2688,0,-0.30%
"Nov 21, 2018",10.2938,10.2911,10.2938,10.2692,0,0.09%
"Nov 22, 2018",10.1977,10.2835,10.2959,10.1946,0,-0.93%
"Nov 23, 2018",10.1684,10.1959,10.1959,10.1656,0,-0.29%
"Nov 26, 2018",10.2035,10.1739,10.2202,10.1244,0,0.35%
"Nov 27, 2018",10.1827,10.2037,10.2294,10.1775,0,-0.20%
"Nov 28, 2018",10.1584,10.1811,10.1985,10.1506,0,-0.24%
"Nov 29, 2018",10.0511,10.1713,10.1775,10.0472,0,-1.06%
"Nov 30, 2018",10.0065,10.0485,10.0737,10.0029,0,-0.44%
"Dec 03, 2018",10.2339,10.0615,10.2339,10.0488,0,2.27%
