Count,Date,Close,CUP,DecisionTree,DUP,LinearSVR,LUP,RandomForest,RUP,Lasso,laUP,Ridge,riUP,Bay,BUP,GradientBoost,GUP,SGD,SUP,ES,EUP,ES_V,EvUP,LSTM,LUP,GRU,GrUP
51,07-Oct-19,11126.4,0,11126.4,0,11195.0608,0,11202.5009,0,11171.0423,0,11177.6497,0,11176.4495,0,11197.1286,0,11171.0423,0,11175.3432,0,11180.7641,0,11617.20625,1,11449.00675,0
52,09-Oct-19,11313.3,1,11313.3,1,11154.0366,0,11112.1932,0,11123.0112,0,11130.1451,0,11128.5649,0,11158.4665,0,11123.0112,0,11194.6532,1,11135.1099,0,11622.83736,1,11391.07317,0
53,10-Oct-19,11234.55,0,11234.55,0,11321.9863,1,11291.6867,1,11308.9176,1,11314.6378,1,11314.0039,1,11284.0989,1,11308.9176,1,11270.1119,1,11314.8745,1,11583.41612,0,11462.38008,1
54,11-Oct-19,11305.05,1,11305.05,1,11248.5246,0,11247.9264,0,11230.5528,0,11236.603,0,11235.7153,0,11292.7061,1,11230.5528,0,11281.8942,1,11238.1741,0,11488.10487,0,11577.74031,1
55,14-Oct-19,11341.15,1,11341.15,1,11315.6621,1,11293.7619,1,11300.8259,1,11306.7264,1,11305.9884,1,11297.7998,1,11300.8259,1,11310.9039,1,11307.3913,1,11483.62758,0,11571.79873,0
56,15-Oct-19,11428.3,1,11428.3,1,11342.148,1,11352.3337,1,11336.6745,1,11341.5204,1,11341.2761,1,11358.4768,1,11336.6745,1,11379.7035,1,11339.9353,1,11461.0106,0,11592.2834,1
57,16-Oct-19,11464,1,11464,1,11420.0454,1,11465.1776,1,11423.3609,1,11427.4164,1,11427.6314,1,11464.9875,1,11423.3609,1,11464.7217,1,11423.5793,1,11500.50017,1,11587.29961,0
58,17-Oct-19,11586.35,1,11586.35,1,11450.5777,1,11490.3492,1,11458.8616,1,11462.5388,1,11463.0194,1,11511.5274,1,11458.8616,1,11529.4089,1,11457.3896,1,11487.58941,0,11609.51852,1
59,18-Oct-19,11661.85,1,11661.85,1,11561.3333,1,11589.2851,1,11580.5545,1,11583.5463,1,11584.6105,1,11607.2611,1,11580.5545,1,11619.4654,1,11575.4067,1,11503.03885,1,11595.77276,0
60,22-Oct-19,11588.35,0,11588.35,0,11636.658,1,11673.1101,1,11655.7599,1,11659.028,1,11660.0766,1,11695.1991,1,11655.7599,1,11652.2197,1,11650.7289,1,11533.04889,1,11574.56965,0
61,23-Oct-19,11604.1,1,11604.1,1,11568.0317,0,11596.1205,0,11582.6312,0,11586.2574,0,11587.0745,0,11594.1718,0,11582.6312,0,11598.1308,0,11579.1488,0,11546.38378,1,11575.51319,1
62,24-Oct-19,11582.6,0,11582.6,0,11590.6068,1,11645.0095,1,11598.3539,1,11602.86,1,11603.3135,1,11613.8117,1,11598.3539,1,11613.8071,1,11597.321,1,11516.0757,0,11598.79318,1
63,25-Oct-19,11583.9,1,11583.9,1,11583.0001,0,11584.7075,0,11577.1117,0,11582.9539,0,11582.6697,0,11608.8019,0,11577.1117,0,11592.4698,0,11580.8048,0,11450.14046,0,11643.25701,1
64,29-Oct-19,11786.85,1,11786.85,1,11590.6031,1,11596.1205,1,11578.4043,1,11585.0652,1,11584.4536,1,11653.6984,1,11578.4043,1,11678.8896,1,11584.3635,1,11416.82983,0,11676.55515,1
65,30-Oct-19,11844.1,1,11844.1,1,11755.7064,1,11744.3654,1,11780.2211,1,11783.369,1,11784.6945,1,11768.5497,1,11780.2211,1,11785.6717,1,11773.4297,1,11410.1148,0,11687.20688,1
66,31-Oct-19,11877.45,1,11877.45,1,11808.0068,1,11925.8932,1,11837.165,1,11839.9754,1,11841.5458,1,11907.4856,1,11837.165,1,11903.6096,1,11828.7942,1,11384.12999,0,11701.53395,1
67,04-Nov-19,11941.3,1,11941.3,1,11840.8947,1,11925.8932,0,11870.2861,1,11873.233,1,11874.8233,1,11918.5537,1,11870.2861,1,11928.5823,1,11861.8918,1,11376.26768,0,11704.85831,1
68,05-Nov-19,11917.2,0,11917.2,0,11917.592,1,11923.2529,0,11934.0094,1,11938.7068,1,11939.5973,1,11950.8242,1,11934.0094,1,11930.4257,1,11930.269,1,11384.19185,1,11681.88718,0
69,06-Nov-19,11966.05,1,11966.05,1,11892.0123,0,11923.2529,0,11910.0511,0,11914.4504,0,11915.4231,0,11955.3405,1,11910.0511,0,11948.2145,1,11905.6992,0,11339.44122,0,11688.00235,1
70,07-Nov-19,12012.05,1,12012.05,1,11933.666,1,11931.576,1,11958.6717,1,11962.3273,1,11963.6587,1,11952.4418,0,11958.6717,1,11965.3559,1,11951.8656,1,11295.62947,0,11727.41313,1
