Date,Close,DT,RF,SVR,LASSO,RIDGE,BayR,GB,SGD,LSTM,GRU
11-Dec-20,13513.85,13468.25,13562.70053,13729.78262,13640.92675,13661.42153,13645.39689,13584.73719,13726.45277,13472.84844,13517.35
14-Dec-20,13558.15,13395,13627.46506,13715.61766,13612.71161,13639.25836,13615.93923,13621.73145,13707.69313,13433.42135,13562.15
15-Dec-20,13567.85,12973.15,14013.94466,14006.55396,13994.86383,13992.04434,13999.89216,14066.25981,14009.42124,13546.30588,13572.35
16-Dec-20,13682.7,13658.45,13763.3025,13875.03102,13771.21254,13817.24128,13767.00389,13791.67524,13870.08293,13576.47096,13687.7
17-Dec-20,13740.7,13912,13618.995,13818.73996,13602.8457,13689.49489,13593.81915,13571.291,13790.6558,13759.31634,13746.2
18-Dec-20,13760.55,13777.2,13818.78388,13874.51014,13808.13002,13812.28437,13814.3261,13827.83793,13856.61474,13800.90412,13766.55
23-Dec-20,13601.1,13635.75,13599.795,13746.10522,13587.66583,13618.26293,13592.45528,13629.8234,13709.49329,13182.40795,13607.6
24-Dec-20,13749.25,13504.35,14041.2225,14153.59365,14041.20501,14072.52038,14042.79398,14077.17055,14141.44205,13124.22177,13756.25
30-Dec-20,13981.95,13349.7,14350.7925,14607.89049,14516.25142,14524.35629,14522.46054,14398.16085,14579.97823,12960.95084,13989.45
04-Jan-21,14132.9,13364.2,15059.42865,15142.8933,15021.86833,15096.70669,15007.02809,15014.38758,15126.39916,13607.94163,14103.9
05-Jan-21,14199.5,13739.35,14809.71,14784.4271,14642.44678,14757.55494,14614.38502,14695.03004,14773.45837,13755.90359,14227.5
06-Jan-21,14146.25,13771.15,14474.4075,14554.84624,14423.81346,14526.4806,14398.41008,14435.37539,14541.84641,13440.77227,14119.25
08-Jan-21,14347.25,13220.95,15299.9025,15141.89543,14898.44222,15020.82959,14875.17017,15229.26728,15099.72773,13844.10088,14321.25
12-Jan-21,14563.45,14085.95,15067.3375,15155.60091,14849.30984,15033.72104,14809.34716,15153.23479,15112.59912,13808.13648,14536.45
13-Jan-21,14564.85,12665.35,16095.18308,15451.3175,15236.91167,15318.96203,15220.95896,15827.23986,15367.16352,14492.80377,14536.85
